Actor,Number of shows
Kyu-jong Kim,1
Tae-hwan Kang,2
Geummi,1
Kevin Costner,7
Amber Heard,8
Hailee Steinfeld,5
Connie Nielsen,5
Tómas Lemarquis,1
Richard Sammel,1
Marc Andréoni,1
Bruno Ricci,1
Jonas Bloquet,1
Eriq Ebouaney,5
Naseeruddin Shah,30
Jackie Shroff,17
Juhi Chawla,12
Nagesh Kukunoor,2
Gulshan Grover,19
Aditya Lakhia,3
Naomi Watts,9
Susan Sarandon,10
Tate Donovan,2
Linda Emond,2
Jordan Carlos,1
Sam Trammell,4
Maria Dizzia,4
Tessa Albertson,2
Reza Rahadian,9
Bunga Citra Lestari,4
Tara Basro,1
Chelsea Islan,6
Aamir Khan,16
Kareena Kapoor,25
Madhavan,9
Sharman Joshi,7
Omi Vaidya,4
Boman Irani,27
Mona Singh,3
Javed Jaffrey,9
Kostja Ullmann,5
Eko Fresh,1
Kida Khodr Ramadan,2
Sabrina Klüber,1
Sami Nasser,1
Kayla Rybicka,1
Jytte-Merle Böhrnsen,1
Emrah Erdogru,1
Tim Grothe,1
Hülya Duyar,3
Taher Farouz,1
Sad Al-Saghir,2
Ahmad Faloks,1
Soleiman Eid,3
Mahmood El-Laithi,3
Hesham Ismail,5
Shaima Saif,2
Nermin Maher,3
Sofinar,1
Jesse Eisenberg,7
Danny McBride,9
Aziz Ansari,7
Nick Swardson,12
Dilshad Vadsaria,1
Michael Peña,12
Bianca Kajlich,1
Fred Ward,3
Krzysztof Stroiński,1
Andrzej Mellin,1
Adrianna Biedrzyńska,2
Rafał Zimowski,1
Kama Kowalewska,1
Wiesław Komasa,1
Aleksander Bednarz,1
Jadwiga Jankowska-Cieslak,1
Wojciech Klata,1
Anna-Maria Sieklucka,1
Michele Morrone,2
Bronisław Wrocławski,1
Otar Saralidze,1
Magdalena Lamparska,1
Natasza Urbańska,1
Grażyna Szapołowska,2
Tomasz Stockinger,1
Gianni Parisi,1
Mateusz Łasowski,1
Mei Kayama,1
Misuzu Kanno,1
Shunsuke Daitoh,1
Makiko Watanabe,1
